English Word,Node Collections
carrot,Objective Focus -> Material Object
cart,Objective Focus -> Material Object
cat,Identity -> Species
catapult,Objective Focus -> Material Object
caterpillar,Identity -> Species
catfish,Identity -> Species
cathedral,Objective Focus -> Material Object
cauliflower,Objective Focus -> Material Object
cedar,Objective Focus -> Material Object
celery,Objective Focus -> Material Object
cellar,Objective Focus -> Material Object
cello,Objective Focus -> Material Object
certificate,Objective Focus -> Material Object
chain,Objective Focus -> Material Object
chair,Objective Focus -> Material Object
chandelier,Objective Focus -> Material Object
chapel,Objective Focus -> Material Object
cheese,Objective Focus -> Material Object
cheetah,Identity -> Species
cherry,Objective Focus -> Material Object
chickadee,Identity -> Species
chicken,Identity -> Species
chimp,Identity -> Species
chipmunk,Identity -> Species
chisel,Objective Focus -> Material Object
church,Objective Focus -> Material Object
cigar,Objective Focus -> Material Object
cigarette,Objective Focus -> Material Object
clam,Identity -> Species
clamp,Objective Focus -> Material Object
clarinet,Objective Focus -> Material Object
cloak,Objective Focus -> Material Object
clock,Objective Focus -> Material Object
closet,Objective Focus -> Material Object
coat,Objective Focus -> Material Object
cockroach,Identity -> Species
coconut,Objective Focus -> Material Object
cod,Identity -> Species
coin,Objective Focus -> Material Object
colander,Objective Focus -> Material Object
comb,Objective Focus -> Material Object
cork,Objective Focus -> Material Object
corkscrew,Objective Focus -> Material Object
corn,Objective Focus -> Material Object
cottage,Objective Focus -> Material Object
couch,Objective Focus -> Material Object
cougar,Identity -> Species
cow,Identity -> Species
coyote,Identity -> Species
crab,Identity -> Species
cranberry,Objective Focus -> Material Object
crane_(machine),Objective Focus -> Material Object
crayon,Objective Focus -> Material Object
crocodile,Identity -> Species
crossbow,Objective Focus -> Material Object
crow,Identity -> Species
crowbar,Objective Focus -> Material Object
crown,Objective Focus -> Material Object
cucumber,Identity -> Species
cup,Objective Focus -> Material Object
cupboard,Objective Focus -> Material Object
curtains,Objective Focus -> Material Object
cushion,Objective Focus -> Material Object
dagger,Objective Focus -> Material Object
dandelion,Objective Focus -> Material Object
deer,Identity -> Species
desk,Objective Focus -> Material Object
dish,Objective Focus -> Material Object
dishwasher,Objective Focus -> Material Object
dog,Identity -> Species
doll,Objective Focus -> Material Object
dolphin,Identity -> Species
donkey,Identity -> Species
door,Objective Focus -> Material Object
doorknob,Objective Focus -> Material Object
dove,Identity -> Species
drain,Objective Focus -> Material Object
drapes,Objective Focus -> Material Object
dress,Objective Focus -> Material Object
